source,target,source_type,target_type,relation_type,city,state,country,genre,weight,Intrument 1,Intrument 2,Intrument 3,Intrument 4
The Kooks,Luke Pritchard,band,person,member_of,London,,GBR,,2,Vocals,guitar,,
The Kooks,Hugh Harris,band,person,member_of,London,,GBR,,2,Guitar,,,
The Kooks,Max Rafferty,band,person,member_of,London,,GBR,,2,Bass,,,
The Kooks,Paul Garred,band,person,member_of,London,,GBR,,2,Drums,,,
The Good Rats,Peppi Marchello,band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,Vocals,,,
The Good Rats,Ted Haenlein,band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,Guitar,vocals,,
The Good Rats,Frank Stapleton,band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,Bass,,,
The Good Rats,Eric Crane,band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,,,,
The Good Rats,Denny Ryan,band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,Drums,,,
The Good Rats,Mickey Marchello,band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,Guitar,,,
The Good Rats,Art Fahie (aka/ Crazy Artie),band,person,member_of,Queens,NY,USA,"Rock, Blues, Hard Rock",2,Bass,,,
Nation of language,Ian,band,person,member_of,New York,NY,USA,New Wave,2,Vocals,,,
Nation of language,Alex,band,person,member_of,New York,NY,USA,New Wave,2,Bass,,,
Nation of language,Aiden,band,person,member_of,New York,NY,USA,New Wave,2,Keyboard,,,
Velkro,Jett Breedlove,band,person,member_of,Seattle,WA,USA,"Alternative Metal, Alternative Rock",2,Vocals,Bass,,
Velkro,Matt Comeau,band,person,member_of,Seattle,WA,USA,"Alternative Metal, Alternative Rock",2,Drums,,,
Velkro,Jessie Larrsen,band,person,member_of,Seattle,WA,USA,"Alternative Metal, Alternative Rock",2,Guitar,,,
Arcadia,Roger Taylor,band,person,member_of,Birmingham,,GBR,Pop,2,drums,,,
Arcadia,Carlos Alomar,band,person,member_of,Birmingham,,GBR,Pop,2,guitar,,,
Arcadia,Pierre Defaye,band,person,member_of,Birmingham,,GBR,Pop,2,violin,,,
Arcadia,Rafael De Jesus,band,person,member_of,Birmingham,,GBR,Pop,2,percussion,,,
Arcadia,Jean-Claude Dubois,band,person,member_of,Birmingham,,GBR,Pop,2,harp,,,
Arcadia,Mark Egan,band,person,member_of,Birmingham,,GBR,Pop,2,bass,,,
Arcadia,David Gilmour,band,person,member_of,Birmingham,,GBR,Pop,2,guitar,guitar,,
Arcadia,Herbie Hancock,band,person,member_of,Birmingham,,GBR,Pop,2,piano,,,
Arcadia,Steve Jordan,band,person,member_of,Birmingham,,GBR,Pop,2,percussion,,,
Arcadia,Grace Jones,band,person,member_of,Birmingham,,GBR,Pop,2,voice,,,
Arcadia,Andy Mackay,band,person,member_of,Birmingham,,GBR,Pop,2,saxophone,,,
Arcadia,Masami Tsuchiya,band,person,member_of,Birmingham,,GBR,Pop,2,guitar,violin,,
Arcadia,Sting,band,person,member_of,Birmingham,,GBR,Pop,2,vocals,,,
Arcadia,David Van Tieghem,band,person,member_of,Birmingham,,GBR,Pop,2,percussion,,,
Ayron Jones,Ayron Jones,band,person,member_of,Seattle,WA,USA,Blues,2,vocals,guitar,,
Bitter End,Matt Fox,band,person,member_of,Seattle,WA,USA,,2,vocals,guitar,,
Bitter End,Chris Fox,band,person,member_of,Seattle,WA,USA,,2,bass,,,
Bitter End,Harry Dearinger,band,person,member_of,Seattle,WA,USA,,2,drums,,,
Bitter End,Russ Stefanovich,band,person,member_of,Seattle,WA,USA,,2,guitar,,,
Black Box Recovery Unit,Aaron McRae,band,person,member_of,Seattle,WA,USA,,2,bass,,,
Black Box Recovery Unit,Matt Ashman,band,person,member_of,Seattle,WA,USA,,2,drums,vocals,,
Black Box Recovery Unit,Shane Spellman,band,person,member_of,Seattle,WA,USA,,2,guitar,,,
Black Box Recovery Unit,Elijah,band,person,member_of,Seattle,WA,USA,,2,guitar,,,
Blind Melon,Rogers Stevens,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Blind Melon,Christopher Thorn,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,vocals,,
Blind Melon,Glen Graham,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Blind Melon,Travis Warren,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,guitar,,
Blind Melon,Nathan Towne,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Blind Melon,Shannon Hoon,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,,,
Blind Melon,Brad Smith,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,vocals,,
Blind Melon,Chris Shinn,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,guitar,,
Botch,Brian Cook,band,person,member_of,Seattle,WA,USA,Metalcore,2,bass,,,
Botch,Dave Knudson,band,person,member_of,Seattle,WA,USA,Metalcore,2,guitar,,,
Botch,Tim Latona,band,person,member_of,Seattle,WA,USA,Metalcore,2,drums,,,
Botch,Dave Verellen,band,person,member_of,Seattle,WA,USA,Metalcore,2,vocals,,,
Brad,Shawn Smith,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,guitar,,
Brad,Stone Gossard,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Brad,Regan Hagar,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Brad,Happy Chichester,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,vocals,,
Brad,Keith Lowe,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
10 Minute Warning,Steve Verwolf,band,person,member_of,Seattle,WA,USA,Punk Rock,2,vocals,,,
10 Minute Warning,Chrisopher Blue,band,person,member_of,Seattle,WA,USA,Punk Rock,2,vocals,,,
10 Minute Warning,Paul Solger,band,person,member_of,Seattle,WA,USA,Punk Rock,2,guitar,,,
10 Minute Warning,Duff McKagan,band,person,member_of,Seattle,WA,USA,Punk Rock,2,guitar,guitar,,
10 Minute Warning,Greg Gilmore,band,person,member_of,Seattle,WA,USA,Punk Rock,2,drums,,,
10 Minute Warning,David Garrigues,band,person,member_of,Seattle,WA,USA,Punk Rock,2,bass,,,
10 Minute Warning,Daniel House,band,person,member_of,Seattle,WA,USA,Punk Rock,2,bass,,,
10 Minute Warning,Jim Lightfoot,band,person,member_of,Seattle,WA,USA,Punk Rock,2,bass,,,
7 Year Bitch,Val Ium,band,person,member_of,Seattle,WA,USA,Punk Rock,2,,,,
7 Year Bitch,Selene Vigil,band,person,member_of,Seattle,WA,USA,Punk Rock,2,bass,,,
7 Year Bitch,Elizabeth Davis,band,person,member_of,Seattle,WA,USA,Punk Rock,2,guitar,,,
